restaurant_id,restaurant_name,City,Locality,Cuisines,price_range,Votes,avg_cost_for_two,Rating,cuisine_count,primary_cuisine,country,is_rated,service_score
6317637,Le Petit Souffle,Makati City,Century City Mall| Poblacion| Makati City,French| Japanese| Desserts,3,314,1100,4.8,1,French| Japanese| Desserts,Philippines,1,1
6304287,Izakaya Kikufuji,Makati City,Little Tokyo| Legaspi Village| Makati City,Japanese,3,591,1200,4.5,1,Japanese,Philippines,1,1
6300002,Heat - Edsa Shangri-La,Mandaluyong City,Edsa Shangri-La| Ortigas| Mandaluyong City,Seafood| Asian| Filipino| Indian,4,270,4000,4.4,1,Seafood| Asian| Filipino| Indian,Philippines,1,1
6318506,Ooma,Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City,Japanese| Sushi,4,365,1500,4.9,1,Japanese| Sushi,Philippines,1,0
6314302,Sambo Kojin,Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City,Japanese| Korean,4,229,1500,4.8,1,Japanese| Korean,Philippines,1,1
18189371,Din Tai Fung,Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City,Chinese,3,336,1000,4.4,1,Chinese,Philippines,1,0
6300781,Buffet 101,Pasay City,SM by the Bay| Mall of Asia Complex| Pasay City,Asian| European,4,520,2000,4.0,1,Asian| European,Philippines,1,1
6301290,Vikings,Pasay City,SM by the Bay| Mall of Asia Complex| Pasay City,Seafood| Filipino| Asian| European,4,677,2000,4.2,1,Seafood| Filipino| Asian| European,Philippines,1,1
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,Sofitel Philippine Plaza Manila| Pasay City,European| Asian| Indian,4,621,6000,4.9,1,European| Asian| Indian,Philippines,1,1
6314987,Locavore,Pasig City,Kapitolyo,Filipino,3,532,1100,4.8,1,Filipino,Philippines,1,1
6309903,Silantro Fil-Mex,Pasig City,Kapitolyo,Filipino| Mexican,3,1070,800,4.9,1,Filipino| Mexican,Philippines,1,0
6309455,Mad Mark's Creamery & Good Eats,Pasig City,Kapitolyo,American| Ice Cream| Desserts,3,488,900,4.2,1,American| Ice Cream| Desserts,Philippines,1,1
6318433,Silantro Fil-Mex,Quezon City,UP Town Center| Diliman| Quezon City,Filipino| Mexican,3,294,800,4.8,1,Filipino| Mexican,Philippines,1,0
6310470,Guevarra's,San Juan City,Addition Hills,Filipino,3,458,1000,4.2,1,Filipino,Philippines,1,1
6314605,Sodam Korean Restaurant,San Juan City,Little Baguio,Korean,3,223,700,4.3,1,Korean,Philippines,1,0
18185059,Cafe Arabelle,Santa Rosa,Nuvali| Don Jose| Santa Rosa,Cafe| American| Italian| Filipino,3,29,800,3.6,1,Cafe| American| Italian| Filipino,Philippines,1,0
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,Solenad 3| Don Jose| Santa Rosa,Italian| Pizza,3,72,850,4.0,1,Italian| Pizza,Philippines,1,0
